job,company_name,location,job_type,description,link,date
QA Analyst,Moody's,Casablanca,Full-time,"Experience or exposure to AWS cloud services (S3, Athena, DynamoDB, Lambdas, Step Functions, Glue Jobs…) and cloud data warehouses (Snowflake).",https://ma.indeed.com/rc/clk?jk=cb80cc41ea6cbfa3&fccid=28eefc5b86560831&vjs=3,28/10/2023
Load and DER Forecasting - Distribution Planning Researchers,Electric Power Research Institute,Remote,Full-time,Developing methods to leverage new data to improve planning load and DER forecasts.-Methods and data to develop granular load and DER forecasts for distribution…,https://ma.indeed.com/rc/clk?jk=785e5dfa8de30bb2&fccid=71084fa2202b6e9d&vjs=3,28/10/2023
Administrateur de bases de données,Anapec,Casablanca,Permanent,"Caractéristiques du poste : - Recueil et extraction des sources de données pertinentes et de qualité qu’il traduit ensuite en données statistiques - Traitement,…",https://ma.indeed.com/rc/clk?jk=062c4876256a7798&fccid=b4e8cff3793d5ae4&vjs=3,28/10/2023
Vendor Analyst,Orange Business,Salé,None,Orange Business Maroc est une entité spécialisée dans la conception et le développement de services applicatifs et l’intégration de systèmes.,https://ma.indeed.com/rc/clk?jk=8dba207db23c20ee&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Pricing Analyst Connectivity,Orange Business,Salé,None,L’ambition d’Orange Business est d’être le partenaire de confiance au service de la transformation digitale de ses clients.-C'est un poste à temps plein.,https://ma.indeed.com/rc/clk?jk=261654ca714c1bd5&fccid=24d2bacb9e5b24ee&vjs=3,28/10/2023
Senior IT Analyst (AA),Air Arabia,Maroc,None,"Proven skills in analyzing data, identifying pitfalls and recommending solutions.-Provides front line primary technical support to end users on various…",https://ma.indeed.com/rc/clk?jk=334e12e9ade145aa&fccid=d972ffe755c0da80&vjs=3,28/10/2023
Emerging Market Strategist- H/F/X,Société Générale,Casablanca,Permanent,Knowledge and understanding of data analysis tools and techniques.-Perform extensive analytical work for the team.,https://ma.indeed.com/rc/clk?jk=281ac9a2abc51d8d&fccid=df6948c9b8da6236&vjs=3,28/10/2023
Consultant Manager SOC (REF03),Trusted Advisors,Casablanca,None,"De formation ingénieur d’état (BAC + 5), avec une spécialisation « Sécurité des Systèmes d’Information ».-Connaissances des système et applications (Middleware,…",https://ma.indeed.com/rc/clk?jk=96879b495209717d&fccid=52c3f2e2cdde3448&vjs=3,28/10/2023
Sr. Payroll Analyst,Support Services Amazon S.A.R.L.A.U. - B98,Rabat,Full-time,Experience with advanced use of SQL for data mining and business intelligence.-Experience working with large-scale data mining and reporting tools (examples:…,https://ma.indeed.com/rc/clk?jk=aac17ceebbf60878&fccid=fe2d21eef233e94a&vjs=3,28/10/2023
Bi Data Analyst/ profil de mission H/F,Stellantis,Casablanca,None,"Job ID: 2021-9909 Career Area: Architecture Fonctionnelle Vehicule Job Category: Salaried Location: Casablanca, , Maroc Date Posted: March 2, 2023 Job…",https://ma.indeed.com/rc/clk?jk=a9849ab43245a52b&fccid=f6172562f9aeed68&vjs=3,28/10/2023
